agencia;municipio;geocodigo;situacao;tipo;num_estab;total_dias;deslocamento_fluvial_km;percurso_fluvial_km;deslocamento_terrestre_km;percurso_terrestre_km;total fluvial;total terrestre;total geral;percurso total;deslocamento total;modal
Tefé;Alvarães;130002905000001;1;0;0;0;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Alvarães;130002905000003;1;0;0;0;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Alvarães;130002905000005;8;4;0;0;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Alvarães;130002905000008;8;0;3;1;6,21;1,84;0;0,89;8,05;0,89;8,94;2,73;6,21;MISTO
Tefé;Alvarães;130002905000010;8;0;45;11;9,8;15,51;0;1,31;25,31;1,31;26,62;16,82;9,8;MISTO
Tefé;Alvarães;130002905000011;5;0;43;11;0;0;12,72;4,43;0;17,15;17,15;4,43;12,72;TERRESTRE
Tefé;Alvarães;130002905000013;8;0;72;18;35,9;49,54;13,75;4,8;85,43;18,55;103,98;54,34;49,64;MISTO
Tefé;Alvarães;130002905000014;8;0;15;4;116,82;8,64;13,75;0,81;125,46;14,56;140,02;9,45;130,57;MISTO
Tefé;Alvarães;130002905000015;8;0;2;1;101,1;11,06;13,74;0,26;112,15;14;126,16;11,32;114,84;MISTO
Tefé;Alvarães;130002905000016;8;0;78;20;33,42;75,61;13,73;6,46;109,03;20,19;129,22;82,07;47,15;MISTO
Tefé;Alvarães;130002905000017;8;4;2;1;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Alvarães;130002905000018;8;0;36;9;44,25;69,39;13,73;4,86;113,64;18,58;132,22;74,24;57,98;MISTO
Tefé;Alvarães;130002905000020;1;0;0;0;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Alvarães;130002905000021;1;0;0;0;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Alvarães;130002905000022;1;0;0;0;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Alvarães;130002905000023;1;0;0;0;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Alvarães;130002905000024;1;0;0;0;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Alvarães;130002905000025;8;0;38;10;90,22;28,24;13,73;2,13;118,46;15,87;134,33;30,38;103,95;MISTO
Tefé;Alvarães;130002905000026;5;5;42;11;4,69;0;0;2,54;4,69;2,54;7,23;2,54;4,69;MISTO
Tefé;Alvarães;130002905000027;8;4;2;1;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Alvarães;130002905000029;8;5;8;2;10,56;0;0;0,62;10,56;0,62;11,18;0,62;10,56;MISTO
Tefé;Alvarães;130002905000030;8;5;6;2;7,36;0;0;0,45;7,36;0,45;7,81;0,45;7,36;MISTO
Tefé;Alvarães;130002905000031;8;5;2;1;6,96;0;0;0,54;6,96;0,54;7,5;0,54;6,96;MISTO
Tefé;Alvarães;130002905000032;8;5;27;7;16;0;0;1,06;16;1,06;17,06;1,06;16;MISTO
Tefé;Alvarães;130002905000033;8;5;46;12;4,89;0,1;0;3,81;4,99;3,81;8,8;3,91;4,89;MISTO
Tefé;Alvarães;130002905000034;8;5;13;3;35,05;0;13,7;0,78;35,05;14,48;49,54;0,78;48,76;MISTO
Tefé;Alvarães;130002905000035;8;5;5;1;10,14;0;0;0,45;10,14;0,45;10,59;0,45;10,14;MISTO
Tefé;Alvarães;130002905000037;5;0;44;11;97,26;0,07;13,66;0,81;97,33;14,47;111,8;0,88;110,92;MISTO
Tefé;Alvarães;130002905000039;8;0;2;1;8,36;8,47;0;0,33;16,83;0,33;17,16;8,8;8,36;MISTO
Tefé;Alvarães;130002905000040;1;0;0;0;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Alvarães;130002905000042;5;5;2;1;0;0,98;0;0,9;0,98;0,9;1,88;1,88;0;MISTO
Tefé;Alvarães;130002905000043;8;0;2;1;1,33;5,62;0;0,17;6,95;0,17;7,11;5,79;1,33;MISTO
Tefé;Alvarães;130002905000044;5;0;12;3;2,37;0,21;0;0,78;2,58;0,78;3,36;0,99;2,37;MISTO
Tefé;Alvarães;130002905000045;8;0;91;23;0;12,28;2,64;22,83;12,28;25,47;37,75;35,11;2,64;MISTO
Tefé;Alvarães;130002905000047;5;0;27;7;18,03;0;13,66;1,54;18,03;15,2;33,24;1,54;31,7;MISTO
Tefé;Alvarães;130002905000048;8;0;78;20;11,63;20,29;13,73;11,29;31,92;25,03;56,95;31,59;25,36;MISTO
Tefé;Alvarães;130002905000049;5;9;39;10;36,21;0;13,71;2,9;36,21;16,6;52,81;2,9;49,92;MISTO
Tefé;Alvarães;130002905000050;8;0;34;9;35,26;12,1;13,73;2,26;47,36;16;63,35;14,36;48,99;MISTO
Tefé;Alvarães;130002905000051;1;0;0;0;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Alvarães;130002905000052;1;0;0;0;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Alvarães;130002905000053;7;5;14;4;13,16;0;0;1,28;13,16;1,28;14,43;1,28;13,16;MISTO
Tefé;Alvarães;130002905000054;8;0;10;3;13,16;14,04;0;1,73;27,2;1,73;28,93;15,77;13,16;MISTO
Tefé;Alvarães;130002905000055;8;5;14;4;25,04;0;0;0,61;25,04;0,61;25,64;0,61;25,04;MISTO
Tefé;Alvarães;130002905000056;8;5;4;1;8,58;0;13,73;0,14;8,58;13,87;22,46;0,14;22,31;MISTO
Tefé;Alvarães;130002905000058;5;5;19;5;0;0;11,42;1,98;0;13,39;13,39;1,98;11,42;TERRESTRE
Tefé;Alvarães;130002905000059;8;5;2;1;5,67;0;0;0,57;5,67;0,57;6,24;0,57;5,67;MISTO
Tefé;Alvarães;130002905000060;8;0;33;8;0,9;23,81;2,92;22,77;24,71;25,69;50,4;46,58;3,82;MISTO
Tefé;Alvarães;130002905000061;7;5;3;1;2,88;0;0;0,57;2,88;0,57;3,45;0,57;2,88;MISTO
Tefé;Alvarães;130002905000062;8;0;49;12;0,67;18,71;4,56;32,13;19,38;36,68;56,07;50,84;5,23;MISTO
Tefé;Alvarães;130002905000063;8;5;2;1;7;0,08;13,77;0,1;7,08;13,86;20,94;0,18;20,77;MISTO
Tefé;Alvarães;130002905000064;8;5;45;11;19,4;0;0;2,26;19,4;2,26;21,65;2,26;19,4;MISTO
Tefé;Alvarães;130002905000065;9;0;2;1;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Fonte Boa;130160505000001;1;0;0;0;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Fonte Boa;130160505000002;2;0;2;1;0;0;0,41;2,52;0;2,93;2,93;2,52;0,41;TERRESTRE
Tefé;Fonte Boa;130160505000003;1;0;0;0;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Fonte Boa;130160505000004;1;0;0;0;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Fonte Boa;130160505000005;1;0;0;0;0;0;0;0;0;0;0;0;0;TERRESTRE
Tefé;Fonte Boa;130160505000006;1;0;0;0;0;0;0;0;0;0;0;0;0;TERRESTRE
